가맹점관리,,,,
,,,,
,가맹점명,업종명,전화,가맹점주소
,파리바게트독립문역점,제과점,027380082,서울 종로구 통일로 252 1층
,포로이대학로,한식,027666444,"서울 종로구 동숭길 127, 1층 （동숭동, 우성빌딩）"
,한솥,일반대중음식,027639348,서울 종로구 성균관로 26 （명륜2가）
,한솥（동대문점）,한식,027634321,서울 종로구 율곡로 280 （종로6가）
,홍금식당,한식,027630777,서울 종로구 지봉로 77-3 1층（창신동）
,김밥천국,한식,0222317848,서울 중구 신당2동 361-30번지 1층
,까르보네,양식,0222334664,"서울 중구 청구로 64, 123동 1층2-1호 （신당동, 청구e편한세상）"
,만다리,중식,0222367615,서울 중구 신당4동 333-67번지 1층
,명동역 남산파리바게뜨,제과점,027717734,"서울 중구 퇴계로 118 （남산동1가,1층,지하1층）"
,신참떡볶이,한식,0222331364,서울 중구 퇴계로 455 1층 （황학동）
,카페약수 파리바게뜨,제과점,0222360379,서울 중구 신당2동 359-6번지 1층
,카페파리바게뜨,제과점,0264892069,"서울 중구 퇴계로 447 1층 114,115호"
,파리바게뜨 충정로역점,제과점,023128280,서울 중구 중림로 10 상가1동 104-1호
,파리바게뜨 카페 황확롯데점,제과점,0220485050,"서울 중구 청계천로 400, 1층 （황학동, 롯데캐슬베네치아）"
,파리바게뜨（신당대림점）,제과점,0222560617,서울 중구 신당6동 291-18번지 1층
,파리바게뜨（청구역점）,제과점,0222330006,"서울 중구 다산로 168, 1층 일부 （신당동）"
,파리바게뜨（청구장충）,제과점,0222528808,"서울 중구 청구로 86, 1층 （신당동, 삼선빌딩）"
,한솥도시락 신당점,한식,0222334653,"서울 중구 다산로 156, 1층 （신당동）"
,5빠 떡볶이,한식,0237891489,"서울 용산구 후암로 37-1, 1층 （후암동）"
,고려식당,한식,027145538,서울 용산구 문배동 40-34
,김밥마을,한식,027979932,서울 용산구 보광로 43 （보광동）
,김밥천국,한식,027748890,서울 용산구 후암로 48 （후암동）
,김밥천국,한식,027383369,서울 용산구 서계동 260-1번지 1층
,김밥천국,일반대중음식,027951654,"서울 용산구 회나무로13길 5, （이태원동）"
,뚜레쥬르 용산2가점,제과점,027943277,"서울 용산구 신흥로 89, 1층 （용산동2가）"
,래리성,중식,027977034,서울 용산구 독서당로 65-1 （한남동）
,먹께비하우스,식품잡화,027791518,서울 용산구 소월로20길 72 （용산동2가）
,멜로즈,제과점,027980885,"서울 용산구 보광로 82, 1층 （이태원동）"
,모리모리,일반대중음식,027021441,서울 용산구 한강대로 281 （갈월동）
,복만루,중식,07089517499,서울 용산구 신흥로20길 14 （용산동2가）
,빵굽는 쉐프의 꿈,제과점,027743243,서울 용산구 소월로20길 24 1층
,소마,한식,027769326,"서울 용산구 후암로23길 3-5, 1층 （후암동）"
,양자강,중식,027145907,서울 용산구 백범로 322 1층
,원돈까스우동,일반대중음식,027979718,서울 용산구 서빙고로65길 10 （서빙고동）
,은아네 맛집,한식,027197008,"서울 용산구 원효로25길 24, 1층 （원효로4가）"
,토마토분식,한식,027159135,서울 용산구 새창로14길 46 （용문동）
,파리바게뜨 만리점,제과점,027139696,서울 용산구 서계동 229-73 힐타워 1층
,파리바게뜨 용산산천,제과점,027045568,"서울 용산구 원효로 51, 제주상가 1층 107 （산천동, 리버힐삼성아파트）"
,파리바게뜨후암신흥점,제과점,0237896672,"서울 용산구 신흥로 150, 지상 1층 59 （후암동）"
,한솥,한식,027968733,서울 용산구 두텁바위로 2 （남영동）
,한솥도시락,한식,027965880,서울 용산구 보광로14길 12-3 （보광동）
,한일각,중식,027962557,서울 용산구 보광동 260-12
,GS25양지사거리점,생활잡화,0222826433,서울 성동구 마장로 185 （홍익동）
,가야성,중식,024622606,서울 성동구 성덕정17길 5 （성수동2가）
,고봉김밥 행당점,일반대중음식,0222824447,"서울 성동구 행당로 127, 지상 1층 （행당동）"
,김밥천국,일반대중음식,0222954401,서울 성동구 마장로 223 （마장동）
,김밥천국,한식,029364075,서울 성동구 아차산로 6 （성수동1가）
,김밥타운,한식,0234093386,서울 성동구 성수2가1동 552-20번지
,꾸리찌바,제과점,024610208,"서울 성동구 광나루로11길 14-1, 1층 （송정동）"
,노리터,한식,0222951295,서울 성동구 독서당로 194-1 .
,달아래면,일식,024649485,서울 성동구 연무장길 56 1층
,돈초랑,일반대중음식,0222946222,"서울 성동구 무학봉15길 4, 1층 （하왕십리동）"
,동보성,중식,0222994520,"서울 성동구 한림말길 31 지하1층 33,34호"
,두레쥬르금호역점,제과점,0222531715,서울 성동구 장터길 25 （금호동3가）
,디259 （D259）,일반대중음식,024690259,"서울 성동구 동일로 259, 1층 101호 （송정동）"
,떴다철가방,중식,0222429905,서울 성동구 용답중앙15길 15-6 1층 （용답동）
,뚜레쥬르도선점,제과점,0222948250,서울 성동구 마장로 223 （마장동）
,뚜레쥬르행당역점,제과점,0222935115,"서울 성동구 행당로17길 3, 지상 1층 （행당동）"
,뚝도국수,한식,024617220,서울 성동구 성덕정길 100 1층（성수동2가）
,롯데리아 답십리,패스트푸드,0222497619,"서울 성동구 천호대로 308, 2층 1호 지상 （용답동）"
,롯데리아 왕십리역사,패스트푸드,027091070,"서울 성동구 왕십리광장로 17, 1층 （행당동）"
,만리장성,중식,0222970686,서울 성동구 장터길 13-1 （금호동3가.2층）
,맘마킹,한식,0222950201,서울 성동구 고산자로 284 120호 성동샤르망 （행당동）
,미소김밥,일반대중음식,0222323561,"서울 성동구 무수막길 92, 1층 （금호동2가）"
,블랙&압구정,중식,0262376237,서울 성동구 행당동 347-40번지 목련상가 81동 105호
,빵（Zip）,제과점,0222825515,서울 성동구 장터길 29 금호동3가
,사보르김밥용답점,한식,0222162729,"서울 성동구 용답중앙15길 15, 지상 1층 （용답동）"
,상하이,중식,0222972111,서울 성동구 왕십리로21길 11 2층
,서울특별시시설관리공단상조회,한식,0222906163,서울 성동구 청계천로 540 （마장동）
,순남시래기 서울숲역점,한식,024673755,서울 성동구 성수일로 47 1층 103호
,쉐프밥버거（한양여대점）,한식,0222816811,"서울 성동구 사근동길 63-1, 1층 （사근동）"
,승리원,중식,024649900,"서울 성동구 왕십리로 78 （성수동1가, 매연빌딩）"
,시온반점,중식,0222970201,서울 성동구 왕십리로19길 18 （행당동）
,아딸떡볶이,한식,0222144889,"서울 성동구 용답중앙15길 3, 1층 （용답동）"
,얌샘 김밥 전문점,한식,0222527615,서울 성동구 독서당로 295-1 （금호동3가）
,양자강,중식,0222949977,서울 성동구 고산자로22길 11 （마장동）
,왕십리텐즈힐 파리바게뜨,제과점,0222928205,서울 성동구 무학로 33 （하왕십리동）
,욘짱떡볶이,한식,0222939007,서울 성동구 무학봉25길 20 1층
,용짜장,중식,0234095679,서울 성동구 아차산로7길 28 （성수동2가）
,제일분식,한식,0222817615,서울 성동구 고산자로8길 23-1 （행당동）
,중천,중식,0222314777,"서울 성동구 무수막길 58, 1층 （금호동2가）"
,중화요리일미향,중식,0222352471,"서울 성동구 장터5길 4-1, 1층 （금호동3가）"
,큰맘할매순대국 용답점,한식,0222125424,서울 성동구 용답29길 10 1층 （용답동）
,파리바게뜨 마장대로점,제과점,0222932750,서울 성동구 마장동 474-25번지 1층 지상 2층
,파리바게뜨 성동금호점,제과점,0222335588,"서울 성동구 독서당로 312, 1층 （금호동4가）"
,파리바게뜨 신금호역점,제과점,0222335222,"서울 성동구 금호산길 65, 1층 2층 （금호동2가）"
,파리바게뜨（성수역점）,제과점,024643456,서울 성동구 성수2가3동 289-16
,파리바게뜨（응봉점）,제과점,0222988606,서울 성동구 독서당로 384 （응봉동）
,파리바게뜨답십리역,제과점,0222452456,서울 성동구 천호대로 312 （용답동）
,파리바게뜨마장역점,제과점,0222971400,서울 성동구 마장로 283 （마장동）
,한솥도시락,한식,0264896555,서울 성동구 행당로 119 （행당동）
,한솥도시락,한식,0222143114,"서울 성동구 천호대로 312, 외 2필지 지상 1층 （용답동）"
,한솥도시락 한양대후문점,한식,0222826899,서울 성동구 마조로 33 （행당동）
,해밀칼국수&김밥,한식,024663501,"서울 성동구 성덕정길 27, 1층 （성수동1가）"
,현미도시락,한식,024654342,"서울 성동구 뚝섬로13길 5, 1층 （성수동2가）"
,화림,한식,0222966655,"서울 성동구 금호로 102 （금호동1가,벽산상가6층4-2）"
,39돈가스,일반대중음식,029599632,"서울 동대문구 휘경로2길 5-2, 1층 （이문동）"
,가나안분식,한식,0222146055,"서울 동대문구 답십리로30길 55, 1층 （답십리동）"
,개화,중식,0222449000,서울 동대문구 답십리로65길 69 （장안동）
,궁원,중식,0222467591,서울 동대문구 장안4동 285-1
,김가네 （장안점）,한식,02331111,"서울 동대문구 장안벚꽃로 107, 상가1동 113호"
,김밥천국,한식,029577400,"서울 동대문구 홍릉로 46, 1층 （청량리동）"
,김밥천국,한식,029532485,"서울 동대문구 왕산로19나길 3, 지상 1층 101 （제기동）"
,김밥천국,일반대중음식,0222128447,서울 동대문구 전농로 129-1 （전농동）
,김밥천국,한식,029241016,서울 동대문구 무학로 125-1 （용두동）
,돈장군vs소일병,한식,029248430,서울 동대문구 제기2동 241-14번지
,뚜레쥬르 신이문점,제과점,029571107,"서울 동대문구 이문로 206, 1층 （이문동）"
,마들김밥,한식,0260804411,"서울 동대문구 한천로17길 10, 1층 （답십리동）"
,미화루,중식,0222320601,서울 동대문구 난계로30길 28 1층 （신설동）
,백리향,한식,0222127400,"서울 동대문구 전농로16길 22, 1층 （전농동）"
,버무리떡볶이,한식,029597000,서울 동대문구 경희대로 5 1층
,복성장,중식,0222443330,"서울 동대문구 장한로24길 46, 1층 （장안동）"
,브레드원,제과점,07089596997,"서울 동대문구 휘경로 33, 1층 （이문동）"
,뽀루뚜아과자점,제과점,029690417,서울 동대문구 이문3동 255-185 1층
,뽀르뚜아과자점,제과점,029690482,"서울 동대문구 이문로 32, （휘경동）"
,사보르,한식,0222448500,"서울 동대문구 전농로 91 （답십리동, 백일빌딩）"
,신또와분식,일반대중음식,0222480465,서울 동대문구 답십리로66길 94 （장안동）
,신설동김밥천국,한식,0222970063,서울 동대문구 천호대로2길 23-3 1층 101호 （신설동）
,신용궁,중식,0222473750,"서울 동대문구 한천로14길 28, 1층 （장안동）"
,안동장,중식,029667607,서울 동대문구 경동시장로10길 57 .
,야호돈까스,양식,029594700,서울 동대문구 약령시로17길 18 1층
,얌샘김밥 회기역점,한식,0222132231,"서울 동대문구 망우로 81, 1층 （휘경동）"
,예본떡집,농가공산품,029267218,서울 동대문구 약령시로9길 3-8 1층
,외대철판마을,한식,029592227,"서울 동대문구 이문로28길 10, 1층 （이문동）"
,용궁,중식,029570483,서울 동대문구 이문3동 180-8번지
,웰치몬드과자점,제과점,0222126584,서울 동대문구 답십리3동 465-137
,은주네 반찬,식품잡화,07078999713,"서울 동대문구 전농로38길 12, 1층 （전농동）"
,이문238,일반대중음식,029650238,서울 동대문구 신이문로4길 24 1층
,이에나파이 （제기한신아파트점）,제과점,029690658,서울 동대문구 제기1동 1212번지 한신아파트상가 105호
,작은김밥천국,한식,0222466658,"서울 동대문구 서울시립대로 75, 상가 102동 102호"
,장안골,한식,0222429476,서울 동대문구 장안4동 286-12
,전설의치킨 （휘경주공점）,일반대중음식,0222463999,서울 동대문구 한천로46길 17 1층
,정푸드,일반대중음식,0234253345,서울 동대문구 한천로 146 1층（장안동）
,중국관,중식,029621070,서울 동대문구 이문로30길 1 （이문동）
,중국성,중식,029658404,서울 동대문구 청량리1동 235-4번지 미주상가 A-207호
,중국성,중식,0222450772,서울 동대문구 고산자로30길 23 （용두동）
,중화랑,중식,0222425582,서울 동대문구 장한로28가길 129 （장안동）
,짜짜루,중식,0222456050,"서울 동대문구 한천로 107-8, 1층 （답십리동）"
,짬뽕애,중식,029663532,서울 동대문구 왕산로 112 （용두동）
,짱구네김밥,한식,0222432026,"서울 동대문구 사가정로 206 （장안동,1층）"
,천리향,중식,0222444110,"서울 동대문구 천호대로85길 100, 1층 （장안동）"
,취홍,중식,029591233,서울 동대문구 홍릉로 42 （청량리동）
,치킨마루 외대앞역점,일반대중음식,029618880,"서울 동대문구 휘경로 30, 1층 （휘경동）"
,태화루,중식,0222427755,서울 동대문구 천호대로79길 59 （장안동）
,파리바게뜨,제과점,0222428277,"서울 동대문구 사가정로25길 58 （장안동,1층）"
,파리바게뜨,제과점,029650310,서울 동대문구 이문1동 264-409번지 지1층
,파리바게뜨 신설동역점,제과점,029269100,"서울 동대문구 왕산로 10, 1층 （신설동, 교보재단빌딩）"
,파리바게뜨 신이문역점,제과점,07077818348,"서울 동대문구 신이문로25길 1, 1층 （이문동）"
,파리바게뜨 청량리점,제과점,029671120,"서울 동대문구 왕산로 225, 미주상가 A동 1층 9호 （청량리동）"
,파리바게뜨（동대문구청점）,제과점,029691721,서울 동대문구 고산자로 410 1층（용두동）
,파리바게뜨（장안배봉）,제과점,0222134607,서울 동대문구 장안4동 111-8
,파리바게뜨까페안암오거리점,제과점,029234204,서울 동대문구 제기2동 1152-9
,파리바게뜨동답한신,제과점,0222166164,"서울 동대문구 한천로 86, 1층 （장안동）"
,파리바게뜨카페전농삼성점,제과점,0222488253,"서울 동대문구 전농로16길 56 1층,2층,3층（전농동）"
,파리바게트 휘경중앙점,제과점,0233948736,서울 동대문구 망우로 129 파리바게트 （휘경동）
,포마토,한식,0222141399,"서울 동대문구 전농로 130, 1층 （전농동）"
,하림성,중식,0222149911,서울 동대문구 고미술로 57 201동 1층 15-1호（답십리동 한화@）
,한솥 시립대점,한식,0233947017,서울 동대문구 서울시립대로 147 1층 104호
,한솥도시락,한식,029600325,"서울 동대문구 천장산로7길 36 （이문동,1층）"
,한솥도시락 휘경주공점,일반대중음식,0222125473,"서울 동대문구 사가정로25길 21, 101호 （장안동）"
,향원,중식,029615588,서울 동대문구 약령서길 14 （제기동）
,현대반점,중식,029682333,"서울 동대문구 이문로1길 21, 상가 2층 201 （회기동）"
,홍콩대반점,중식,0222123467,서울 동대문구 답십리로23길 65 （전농동）
,황금성,중식,0222152201,서울 동대문구 전농로 76 （답십리동）
,황금성,중식,0222152221,서울 동대문구 전농로 76 （답십리동）
,경보장,중식,024395416,"서울 중랑구 용마산로96길 15, 1층 （망우동）"
,곰분식,한식,024964419,서울 중랑구 동일로129길 19 （중화동）
,금용식당,한식,024395252,서울 중랑구 용마공원로5길 23 1층
,김밥사랑,한식,024326110,"서울 중랑구 사가정로52길 22, 1층 102호 （면목동）"
,김밥천국,한식,024932216,"서울 중랑구 중랑역로 86, 1층 （중화동）"
,김밥천국,한식,024947788,"서울 중랑구 용마산로 494 （망우동, 상아빌딩）"
,김밥천국,한식,024330649,서울 중랑구 망우로32길 28 1층
,김밥천국,한식,024345335,서울 중랑구 신내1동 666번지 신아타운제 113-114호 115호 116호
,꽃돼지 수제 돈까스,한식,027915618,"서울 중랑구 공릉로12가길 68, 1층 （묵동）"
,꾼떡면목점,한식,024343782,"서울 중랑구 면목로27길 49, 꾼떡 （면목동）"
,뚜레쥬르용마산역점,제과점,0222093662,서울 중랑구 면목로 245 1층
,락궁,중식,024954200,"서울 중랑구 신내로10길 7, 1층 （신내동）"
,레스쁘아과자점,제과점,029941732,"서울 중랑구 겸재로3길 60, 1층 （면목동）"
,미스타 홍,한식,024367755,서울 중랑구 봉우재로14길 11 （면목동）
,밀로베이커리,제과점,024940189,"서울 중랑구 봉화산로56길 152, 1층 （신내동）"
,바른생활샌드위치,한식,0222076718,서울 중랑구 망우로73길 37 1층
,병규돈까스,일반대중음식,029750027,"서울 중랑구 동일로157길 19, 1층 （묵동, 기영빌딩）"
